link,name,salary,city
https://spb.hh.ru/vacancy/39586187?query=php,PHP-разработчик,1 200-2 500 USD,Минск
https://spb.hh.ru/vacancy/39480097?query=php,Senior PHP developer (e-commerce),120 000-200 000 руб.,Москва
https://spb.hh.ru/vacancy/39937817?query=php,Веб-программист,50 000-70 000 руб.,Новосибирск
https://spb.hh.ru/vacancy/39486333?query=php,PHP-разработчик WEB-сервисы,60 000-120 000 руб.,Москва
https://spb.hh.ru/vacancy/39702164?query=php,PHP developer / Программист PHP,до 150 000 руб.,Нижний Новгород
https://spb.hh.ru/vacancy/39241781?query=php,Web-разработчик Bitrix (Backend-разработчик/Bitrix PHP),120 000-150 000 руб.,"Москва, Молодежная"
https://spb.hh.ru/vacancy/39686048?query=php,PHP-программист,140 000-200 000 руб.,"Москва, Деловой центр и еще 2 "
https://spb.hh.ru/vacancy/39483307?query=php,Веб-программист,50 000-70 000 руб.,Москва
https://spb.hh.ru/vacancy/39882734?query=php,PHP-разработчик (удаленно),50 000-70 000 руб.,Барнаул
https://spb.hh.ru/vacancy/39758236?query=php,WEB-Программист,от 50 000 руб.,Воронеж
https://spb.hh.ru/vacancy/37463328?query=php,Программист PHP,100 000-120 000 руб.,Курск
https://spb.hh.ru/vacancy/39939691?query=php,PHP-программист / Symfony,80 000-150 000 руб.,Владимир
https://spb.hh.ru/vacancy/39879431?query=php,Middle php developer,от 120 000 руб.,Москва
https://spb.hh.ru/vacancy/39731811?query=php,Программист PHP,от 50 000 руб.,Воронеж
https://spb.hh.ru/vacancy/39818335?query=php,Программист PHP,96 000-110 000 руб.,"Москва, Тульская"
https://spb.hh.ru/vacancy/39914320?query=php,PHP-разработчик (Magento),70 000-200 000 руб.,Москва
https://spb.hh.ru/vacancy/39811952?query=php,Middle PHP-программист,от 120 000 руб.,"Санкт-Петербург, Площадь Ленина и еще 1 "
https://spb.hh.ru/vacancy/39622635?query=php,WEB-программист/Bitrix-разработчик,от 150 000 руб.,"Москва, Калужская"
https://spb.hh.ru/vacancy/37879234?query=php,PHP (Laravel) developer,120 000-160 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39699293?query=php,"Backend-программист (Laravel, Symfony)",70 000-90 000 руб.,"Новосибирск, Березовая роща"
https://spb.hh.ru/vacancy/39808058?query=php,"Backend-разработчик (PHP, Yii2, Middle)",60 000-120 000 руб.,Москва
https://spb.hh.ru/vacancy/39629137?query=php,Senior PHP Developer,от 200 000 руб.,Нижний Новгород
https://spb.hh.ru/vacancy/37463452?query=php,Программист PHP,100 000-120 000 руб.,Тамбов
https://spb.hh.ru/vacancy/39910834?query=php,Веб-программист,70 000-150 000 руб.,"Москва, Улица Академика Янгеля"
https://spb.hh.ru/vacancy/39965257?query=php,Разработчик PHP/Go (Middle) удалённо,100 000-150 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39688030?query=php,Web-программист,40 000-70 000 руб.,Пермь
https://spb.hh.ru/vacancy/39952389?query=php,Программист PHP,30 000-45 000 руб.,Ставрополь
https://spb.hh.ru/vacancy/39878712?query=php,Web-программист,от 60 000 руб.,Краснодар
https://spb.hh.ru/vacancy/39630406?query=php,Front-End Developer,100 000-200 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39894577?query=php,PHP-разработчик/ Middle PHP Developer (Anyport),от 140 000 руб.,"Москва, Сокольники"
https://spb.hh.ru/vacancy/39859538?query=php,Bitrix-программист / Битрикс-разработчик (удаленно),120 000-180 000 руб.,Москва
https://spb.hh.ru/vacancy/39617519?query=php,Senior PHP Laravel Developer,2 000-4 000 USD,Киев
https://spb.hh.ru/vacancy/39532785?query=php,"Backend-разработчик (PHP Laravel, удалённая работа)",от 100 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39714356?query=php,Веб-разработчик,70 000-100 000 руб.,Москва
https://spb.hh.ru/vacancy/39736566?query=php,Backend PHP разработчик,70 000-120 000 руб.,Казань
https://spb.hh.ru/vacancy/39405032?query=php,PHP-разработчик,от 120 000 руб.,"Санкт-Петербург, Чёрная речка"
https://spb.hh.ru/vacancy/39936415?query=php,Web программист / веб-разработчик,30 000-50 000 руб.,"Санкт-Петербург, Площадь Александра Невского 2"
https://spb.hh.ru/vacancy/39964269?query=php,Backend PHP Developer / РHP Разработчик,от 140 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39927338?query=php,PHP разработчик,60 000-120 000 руб.,Краснодар
https://spb.hh.ru/vacancy/39438574?query=php,Программист PHP,100 000-120 000 руб.,Воронеж
https://spb.hh.ru/vacancy/39874185?query=php,PHP Developer,120 000-200 000 руб.,Севастополь
https://spb.hh.ru/vacancy/39702165?query=php,PHP developer / Программист PHP,до 150 000 руб.,Самара
https://spb.hh.ru/vacancy/39595850?query=php,Senior PHP Developer / Старший PHP Программист,180 000-220 000 руб.,Москва
https://spb.hh.ru/vacancy/39620956?query=php,Программист PHP,до 100 000 руб.,Челябинск
https://spb.hh.ru/vacancy/39629138?query=php,Senior PHP Developer,от 200 000 руб.,Сочи
https://spb.hh.ru/vacancy/39483506?query=php,Web-разработчик / HTML-верстальщик,25 000-30 000 руб.,"Новосибирск, Площадь Ленина"
https://spb.hh.ru/vacancy/39664136?query=php,PHP-разработчик,130 000-170 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39762242?query=php,PHP-разработчик,от 115 000 руб.,Москва
https://spb.hh.ru/vacancy/39674642?query=php,Программист PHP,80 000-140 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/39925325?query=php,PHP-разработчик,60 000-150 000 руб.,Сыктывкар
https://spb.hh.ru/vacancy/39884586?query=php,Программист PHP — JUNIOR,до 50 000 руб.,Красноярск
https://spb.hh.ru/vacancy/39888803?query=php,Web программист/PHP разработчик (senior),100 000-200 000 руб.,Казань
https://spb.hh.ru/vacancy/33427750?query=php,Web-разработчик (PHP),140 000-140 000 руб.,"Москва, Калужская"
https://spb.hh.ru/vacancy/39984113?query=php,Junior PHP Developer (удаленно),15 000-50 000 руб.,Москва
https://spb.hh.ru/vacancy/39900984?query=php,PHP-разработчик (Bitrix),90 000-180 000 руб.,Москва
https://spb.hh.ru/vacancy/39540074?query=php,PHP-программист,до 90 000 руб.,Москва
https://spb.hh.ru/vacancy/39989765?query=php,PHP-разработчик,120 000-170 000 руб.,Калининград
https://spb.hh.ru/vacancy/39932326?query=php,PHP-разработчик,60 000-150 000 руб.,Хабаровск
https://spb.hh.ru/vacancy/39742459?query=php,Middle backend-разработчик (PHP),75 000-90 000 руб.,Санкт-Петербург
https://spb.hh.ru/vacancy/38877228?query=php,Backend PHP Developer,от 90 000 руб.,Москва
https://spb.hh.ru/vacancy/39449813?query=php,PHP Yii2 программист,80 000-100 000 руб.,Москва
https://spb.hh.ru/vacancy/39743602?query=php,Web-разработчик,500 000-800 000 KZT,Алматы
https://spb.hh.ru/vacancy/39680151?query=php,Backend developer (Разработчик PHP),до 250 000 руб.,Москва
https://spb.hh.ru/vacancy/39173358?query=php,Программист PHP,150 000-180 000 руб.,"Москва, Кропоткинская и еще 3 "
https://spb.hh.ru/vacancy/39908433?query=php,PHP-разработчик,60 000-150 000 руб.,Иркутск
https://spb.hh.ru/vacancy/39593481?query=php,Разработка на PHP (Middle PHP Developer),80 000-150 000 руб.,Иваново (Ивановская область)
https://spb.hh.ru/vacancy/39392490?query=php,"Backend-разработчик (PHP, Yii2, Senior)",от 100 000 руб.,Москва
https://spb.hh.ru/vacancy/39946949?query=php,Web-программист (разработчик PHP/JavaScript/Full-Stack),от 100 000 руб.,"Нижний Новгород, Горьковская"
https://spb.hh.ru/vacancy/39925367?query=php,PHP-разработчик,60 000-150 000 руб.,Челябинск
https://spb.hh.ru/vacancy/38398028?query=php,Веб-программист,от 50 000 руб.,Иркутск
https://spb.hh.ru/vacancy/39919124?query=php,Web-программист,50 000-93 600 руб.,Москва
https://spb.hh.ru/vacancy/39736567?query=php,Backend PHP разработчик,70 000-120 000 руб.,Нижний Новгород
https://spb.hh.ru/vacancy/39951785?query=php,PHP-программист / WEB разработчик,от 80 000 руб.,"Санкт-Петербург, Василеостровская"
https://spb.hh.ru/vacancy/39685140?query=php,PHP-разработчик (Symfony),100 000-160 000 руб.,Москва
https://spb.hh.ru/vacancy/39908243?query=php,Вакансия front-end разработчика,250 000-500 000 KZT,Алматы
https://spb.hh.ru/vacancy/39924013?query=php,PHP-разработчик,60 000-150 000 руб.,Ижевск
https://spb.hh.ru/vacancy/39847965?query=php,"Ведущий веб-разработчик (PHP, Yii)",120 000-150 000 руб.,Москва
https://spb.hh.ru/vacancy/39450317?query=php,Ведущий PHP-программист,от 120 000 руб.,Дубна
https://spb.hh.ru/vacancy/39594186?query=php,Web-разработчик,от 50 000 руб.,Москва
https://spb.hh.ru/vacancy/39564650?query=php,Frontend-разработчик / HTML-верстальщик,от 40 000 руб.,Одинцово
https://spb.hh.ru/vacancy/39907390?query=php,PHP программист,от 180 000 руб.,"Москва, Кропоткинская и еще 3 "
https://spb.hh.ru/vacancy/39350222?query=php,Senior PHP developer (Laravel),150 000-200 000 руб.,"Санкт-Петербург, Петроградская"
https://spb.hh.ru/vacancy/39990154?query=php,Backend разработчик (PHP),от 50 000 руб.,Москва
